PR,PR previous,URL,URL previous,Title,Title previous,Content type,Content type previous,Is rendered page,Is rendered page previous,HTTP status code,HTTP status code previous,Organic traffic,Organic traffic previous,Is indexable page,Is indexable page previous,Title patch,Title patch status,Meta description,Meta description previous,Meta description patch,Meta description patch status,H1,H1 previous,H2,H2 previous,No. of content words,No. of content words previous,No. of internal outlinks,No. of internal outlinks previous,No. of external outlinks,No. of external outlinks previous,Page text,Page text previous,Extracted text (raw <body>) (length),Extracted text (raw <body>) (length) previous,Text hash,Text hash previous,First found at,First found at previous
20,23,https://tranvas.com/id/resources/stories,https://tranvas.com/id/resources/stories,Success Stories — User Transformations | Tranvas,Success Stories — User Transformations | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,7,7,0,0,0,0,<truncated>,<truncated>,50,50,17522686718900503626,17522686718900503626,,
20,23,https://tranvas.com/id/solutions/second-brain,https://tranvas.com/id/solutions/second-brain,Second Brain — Your Digital Knowledge Map | Tranvas,Second Brain — Your Digital Knowledge Map | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,9,9,0,0,0,0,<truncated>,<truncated>,53,53,18115316873939392322,18115316873939392322,,
20,23,https://tranvas.com/id/solutions/atomic-system,https://tranvas.com/id/solutions/atomic-system,"Atomic Habits — Small Steps, Big Results | Tranvas","Atomic Habits — Small Steps, Big Results | Tranvas",text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,9,9,0,0,0,0,<truncated>,<truncated>,52,52,16636546207033747754,16636546207033747754,,
20,23,https://tranvas.com/id/features/neural-os,https://tranvas.com/id/features/neural-os,Neural OS AI — Powered by Gemini Brain,Neural OS AI — Powered by Gemini Brain | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Explore the 8 core modules of Tranvas: Task Planner, Atomic Habits, Smart Finance, Mindful Journal, Gemini Neural OS AI, and more.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,8,10,0,0,0,0,<truncated>,<truncated>,40,50,3242018467856713558,3796276708198764452,,
20,23,https://tranvas.com/id/solutions/deep-work,https://tranvas.com/id/solutions/deep-work,Deep Work — Uninterrupted Focus | Tranvas,Deep Work — Uninterrupted Focus | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,7,7,0,0,0,0,<truncated>,<truncated>,43,43,632302229466779463,632302229466779463,,
20,3,https://tranvas.com/id/terms-of-service,https://tranvas.com/id/terms-of-service,Terms of Service — User Agreement & Usage Rules | Tranvas,,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,404,0,0,true,false,,,"Review the Terms of Service governing your account, usage rights, subscription plans, and service commitments on the Tranvas platform.",,,,,,,,11,0,0,0,0,0,<truncated>,,59,,15987923736661796320,,,
20,40,https://tranvas.com/id/login,https://tranvas.com/id/login,Log In — Welcome Back | Tranvas,Log In — Welcome Back | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,7,7,0,0,0,0,<truncated>,<truncated>,33,33,3604501206688088492,3604501206688088492,,
20,23,https://tranvas.com/id/solutions/freelancer,https://tranvas.com/id/solutions/freelancer,For Freelancers — Scale Your Workflow | Tranvas,For Freelancers — Scale Your Workflow | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,8,8,0,0,0,0,<truncated>,<truncated>,49,49,3706793341069782983,3706793341069782983,,
20,3,https://tranvas.com/id/contact,https://tranvas.com/id/contact,Contact Us — Get in Touch with Support | Tranvas,,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,404,0,0,true,false,,,"Have questions or need assistance? Contact the Tranvas support and engineering team for product inquiries, partnership, or account help.",,,,,,,,10,0,0,0,0,0,<truncated>,,50,,14675064438352898788,,,
20,23,https://tranvas.com/id/register,https://tranvas.com/id/register,Sign Up — Start Your Journey | Tranvas,Sign Up — Start Your Journey | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,8,8,0,0,0,0,<truncated>,<truncated>,40,40,16233276844866891578,16233276844866891578,,
20,3,https://tranvas.com/id/privacy-policy,https://tranvas.com/id/privacy-policy,Privacy Policy — How We Protect Your Data | Tranvas,,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,404,0,0,true,false,,,"Understand how Tranvas safeguards, encrypts, and handles your personal data, habits, finances, and journal entries with strict privacy standards.",,,,,,,,10,0,0,0,0,0,<truncated>,,53,,3487651518833275759,,,
20,23,https://tranvas.com/id/solutions/personalgrowth,https://tranvas.com/id/solutions/personalgrowth,Personal Growth — Master Your Self-System | Tranvas,Personal Growth — Master Your Self-System | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,8,8,0,0,0,0,<truncated>,<truncated>,53,53,4219536793585506408,4219536793585506408,,
20,,https://tranvas.com/id/features/goal,,Goal Tracker — Track Your Milestones,,text/html; charset=utf-8,,false,,200,,0,,true,,,,"Explore the 8 core modules of Tranvas: Task Planner, Atomic Habits, Smart Finance, Mindful Journal, Gemini Neural OS AI, and more.",,,,,,,,6,,0,,0,,<truncated>,,38,,1192550540018512319,,,
20,23,https://tranvas.com/id/features/job,https://tranvas.com/id/features/job,Job Tracker — Manage Career Growth,Job Tracker — Manage Career Growth | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Explore the 8 core modules of Tranvas: Task Planner, Atomic Habits, Smart Finance, Mindful Journal, Gemini Neural OS AI, and more.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,6,8,0,0,0,0,<truncated>,<truncated>,36,46,4358104437149873743,14717939365765858241,,
20,23,https://tranvas.com/id/about,https://tranvas.com/id/about,About Us — Our Mission | Tranvas,About Us — Our Mission | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,7,7,0,0,0,0,<truncated>,<truncated>,34,34,446601391103223720,446601391103223720,,
20,23,https://tranvas.com/id/features/habit,https://tranvas.com/id/features/habit,Habit Tracker — Build Consistency Every Day,Habit Tracker — Build Consistency Every Day | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Explore the 8 core modules of Tranvas: Task Planner, Atomic Habits, Smart Finance, Mindful Journal, Gemini Neural OS AI, and more.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,7,9,0,0,0,0,<truncated>,<truncated>,45,55,15973668406617025855,4262504085646371440,,
20,23,https://tranvas.com/id/solutions/mental-clarity,https://tranvas.com/id/solutions/mental-clarity,Mental Health — Journaling & Mindfulness | Tranvas,Mental Health — Journaling & Mindfulness | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,8,8,0,0,0,0,<truncated>,<truncated>,52,52,16013812383032215302,16013812383032215302,,
20,23,https://tranvas.com/id/resources/guide,https://tranvas.com/id/resources/guide,User Guide — Master the OS | Tranvas,User Guide — Master the OS | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,8,8,0,0,0,0,<truncated>,<truncated>,38,38,668815777334216830,668815777334216830,,
20,0,https://tranvas.com/id/features/finance,https://tranvas.com/id/features/finance,Finance OS — Master Your Money Flow,,text/html; charset=utf-8,,false,false,200,302,0,0,true,false,,,"Explore the 8 core modules of Tranvas: Task Planner, Atomic Habits, Smart Finance, Mindful Journal, Gemini Neural OS AI, and more.",,,,,,,,7,0,0,0,0,0,<truncated>,,37,,3066579627626248608,,,
20,0,https://tranvas.com/id/solutions/finance-mastery,https://tranvas.com/id/solutions/finance-mastery,Financial Clarity — Manage Assets & Cashflow | Tranvas,,text/html; charset=utf-8,,false,false,200,302,0,0,true,false,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.",,,,,,,,9,0,0,0,0,0,<truncated>,,56,,17133379585475272655,,,
20,,https://tranvas.com/id/features/calendar,,Smart Calendar — Sync Your Schedules,,text/html; charset=utf-8,,false,,200,,0,,true,,,,"Explore the 8 core modules of Tranvas: Task Planner, Atomic Habits, Smart Finance, Mindful Journal, Gemini Neural OS AI, and more.",,,,,,,,6,,0,,0,,<truncated>,,38,,13996537750400505751,,,
20,23,https://tranvas.com/id/pricing,https://tranvas.com/id/pricing,Pricing & Plans — Choose Your Journey | Tranvas,Pricing & Plans — Choose Your Journey | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,9,9,0,0,0,0,<truncated>,<truncated>,49,49,1601060064254060813,1601060064254060813,,
20,23,https://tranvas.com/id/resources/blog,https://tranvas.com/id/resources/blog,Blog — Productivity Insights | Tranvas,Blog — Productivity Insights | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,6,6,0,0,0,0,<truncated>,<truncated>,40,40,2978445433863922590,2978445433863922590,,
0,0,https://tranvas.com/en/solutions/finance-mastery,https://tranvas.com/en/solutions/finance-mastery,,,,,false,false,307,302,0,0,false,false,,,,,,,,,,,0,0,0,0,0,0,,,,,,,https://tranvas.com/solutions/finance-mastery,
0,0,https://tranvas.com/en/features/finance,https://tranvas.com/en/features/finance,,,,,false,false,307,302,0,0,false,false,,,,,,,,,,,0,0,0,0,0,0,,,,,,,https://tranvas.com/features/finance,
0,0,https://tranvas.com/en/features/planner,https://tranvas.com/en/features/planner,,,,,false,false,307,302,0,0,false,false,,,,,,,,,,,0,0,0,0,0,0,,,,,,,https://tranvas.com/features/planner,
